RESPONSE,STATE,TOTAL
Call them out,Texas,692
Call them out,California,583
Call them out,New York,577
Call them out,Illinois,509
Call them out,Pennsylvania,461
Call them out,Michigan,417
Call them out,Ohio,405
Call them out,Washington,290
Call them out,North Carolina,288
Call them out,Florida,268
Call them out,Georgia,258
Call them out,Tennessee,239
Call them out,Indiana,228
Call them out,Wisconsin,226
Call them out,Colorado,225
Call them out,Minnesota,207
Call them out,Missouri,203
Call them out,Massachusetts,201
Call them out,Virginia,190
Call them out,Oregon,176
Call them out,New Jersey,173
Call them out,Iowa,162
Call them out,Kentucky,133
Call them out,Arizona,125
Call them out,Nebraska,125
Call them out,Utah,115
Call them out,District of Columbia,107
Call them out,Kansas,106
Call them out,Louisiana,103
Call them out,Oklahoma,103
Call them out,Alabama,95
Call them out,Arkansas,91
Call them out,Connecticut,89
Call them out,Maryland,88
Call them out,New Mexico,81
Call them out,West Virginia,80
Call them out,Mississippi,76
Call them out,Maine,69
Call them out,New Hampshire,69
Call them out,Idaho,67
Call them out,South Carolina,66
Call them out,Montana,65
Call them out,Nevada,59
Call them out,Alaska,54
Call them out,Vermont,47
Call them out,South Dakota,42
Call them out,(not set),32
Call them out,Rhode Island,32
Call them out,Wyoming,29
Call them out,North Dakota,24
Call them out,Delaware,11
Call them out,Hawaii,10
Ignore it,Texas,1137
Ignore it,New York,1065
Ignore it,Illinois,1030
Ignore it,California,1008
Ignore it,Pennsylvania,946
Ignore it,Michigan,915
Ignore it,Ohio,847
Ignore it,Wisconsin,618
Ignore it,Washington,561
Ignore it,Minnesota,515
Ignore it,Indiana,504
Ignore it,North Carolina,484
Ignore it,Colorado,479
Ignore it,Georgia,459
Ignore it,Tennessee,440
Ignore it,Missouri,438
Ignore it,Florida,436
Ignore it,Oregon,394
Ignore it,Iowa,381
Ignore it,Massachusetts,354
Ignore it,Virginia,333
Ignore it,Kentucky,270
Ignore it,Kansas,264
Ignore it,Utah,247
Ignore it,Arizona,244
Ignore it,New Jersey,244
Ignore it,Nebraska,242
Ignore it,West Virginia,226
Ignore it,Oklahoma,225
Ignore it,Alabama,207
Ignore it,Maine,193
Ignore it,District of Columbia,178
Ignore it,Louisiana,174
Ignore it,Arkansas,167
Ignore it,Connecticut,163
Ignore it,Mississippi,160
Ignore it,Montana,138
Ignore it,Idaho,134
Ignore it,South Carolina,133
Ignore it,Nevada,131
Ignore it,New Mexico,125
Ignore it,New Hampshire,123
Ignore it,Alaska,121
Ignore it,Maryland,114
Ignore it,South Dakota,109
Ignore it,Vermont,82
Ignore it,Wyoming,80
Ignore it,North Dakota,72
Ignore it,(not set),61
Ignore it,Rhode Island,52
Ignore it,Delaware,31
Ignore it,Hawaii,12
"No, I believe most news articles are false",Texas,318
"No, I believe most news articles are false",California,251
"No, I believe most news articles are false",Illinois,247
"No, I believe most news articles are false",New York,217
"No, I believe most news articles are false",Michigan,206
"No, I believe most news articles are false",Pennsylvania,199
"No, I believe most news articles are false",Ohio,153
"No, I believe most news articles are false",Washington,152
"No, I believe most news articles are false",North Carolina,127
"No, I believe most news articles are false",Tennessee,121
"No, I believe most news articles are false",Missouri,119
"No, I believe most news articles are false",Georgia,112
"No, I believe most news articles are false",Colorado,111
"No, I believe most news articles are false",Indiana,111
"No, I believe most news articles are false",Minnesota,105
"No, I believe most news articles are false",Florida,104
"No, I believe most news articles are false",Oregon,89
"No, I believe most news articles are false",Utah,84
"No, I believe most news articles are false",Wisconsin,83
"No, I believe most news articles are false",Massachusetts,79
"No, I believe most news articles are false",Arizona,76
"No, I believe most news articles are false",Virginia,70
"No, I believe most news articles are false",Oklahoma,68
"No, I believe most news articles are false",New Jersey,63
"No, I believe most news articles are false",Nebraska,60
"No, I believe most news articles are false",Iowa,59
"No, I believe most news articles are false",Kansas,52
"No, I believe most news articles are false",West Virginia,51
"No, I believe most news articles are false",Louisiana,47
"No, I believe most news articles are false",Arkansas,45
"No, I believe most news articles are false",Kentucky,43
"No, I believe most news articles are false",Alabama,42
"No, I believe most news articles are false",District of Columbia,42
"No, I believe most news articles are false",Idaho,42
"No, I believe most news articles are false",Connecticut,41
"No, I believe most news articles are false",Maine,40
"No, I believe most news articles are false",Mississippi,38
"No, I believe most news articles are false",South Carolina,38
"No, I believe most news articles are false",Montana,35
"No, I believe most news articles are false",Maryland,31
"No, I believe most news articles are false",Nevada,31
"No, I believe most news articles are false",Alaska,29
"No, I believe most news articles are false",New Hampshire,27
"No, I believe most news articles are false",New Mexico,26
"No, I believe most news articles are false",South Dakota,22
"No, I believe most news articles are false",Vermont,20
"No, I believe most news articles are false",Wyoming,17
"No, I believe most news articles are false",North Dakota,16
"No, I believe most news articles are false",(not set),15
"No, I believe most news articles are false",Rhode Island,7
"No, I believe most news articles are false",Delaware,4
"No, I believe most news articles are false",Hawaii,1
"No, I don't think I could tell if an article was telling the truth",California,187
"No, I don't think I could tell if an article was telling the truth",Texas,182
"No, I don't think I could tell if an article was telling the truth",New York,159
"No, I don't think I could tell if an article was telling the truth",Illinois,147
"No, I don't think I could tell if an article was telling the truth",Michigan,136
"No, I don't think I could tell if an article was telling the truth",Pennsylvania,130
"No, I don't think I could tell if an article was telling the truth",Ohio,107
"No, I don't think I could tell if an article was telling the truth",Missouri,78
"No, I don't think I could tell if an article was telling the truth",North Carolina,74
"No, I don't think I could tell if an article was telling the truth",Colorado,73
