Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,Frequency [6],Frequency [3],Frequency [8],Frequency [9],Frequency [16],Frequency [2],Frequency [11],Frequency [12],Frequency [1],Frequency [14],Frequency [7],Frequency [4],Frequency [15],Frequency [13],Frequency [5],Frequency [10],Anxiety,Depression,Insomnia,OCD,Music effects
18,3,3,1,1,1,1,1,1,2,1,2,1,1,3,1,4,4,2,1,4,3,4,1,3,3,0,1,0,0
63,4,1.5,1,2,2,5,1,2,3,1,1,2,3,2,4,2,3,2,1,3,3,2,4,2,7,2,2,1,0
18,3,4,2,2,2,10,2,1,1,1,4,1,1,2,2,4,1,3,3,2,1,2,2,4,7,7,10,2,0
61,5,2.5,1,2,1,11,1,1,3,1,1,2,3,1,4,3,4,3,1,3,3,1,1,1,9,7,3,3,2
18,3,4,1,2,2,15,1,2,1,1,2,1,2,4,1,4,3,3,1,3,4,4,1,2,7,2,5,9,2
18,3,5,1,1,1,11,1,1,2,3,1,1,1,3,4,4,2,4,2,4,4,4,4,1,8,8,7,7,2
18,5,3,1,1,2,10,1,1,3,1,2,3,2,2,3,1,2,2,2,2,2,1,1,3,4,8,6,0,2
21,3,1,1,2,2,12,1,1,1,1,2,1,1,4,2,4,1,3,1,3,3,2,1,2,5,3,5,3,2
19,3,6,1,2,2,5,2,2,1,4,1,3,1,1,1,1,1,1,4,1,1,1,4,1,2,0,0,0,2
18,0,1,1,2,2,15,1,1,2,2,2,2,3,2,2,1,2,2,1,3,3,2,3,3,2,2,5,1,2
18,3,3,1,1,2,3,1,2,1,4,1,1,1,1,1,1,1,1,1,2,2,1,2,1,7,7,4,7,0
19,5,8,1,2,2,8,1,2,2,1,4,1,1,3,2,2,2,2,1,2,2,3,2,2,1,0,0,1,2
18,3,3,1,2,2,2,1,1,2,1,2,1,1,4,1,3,1,4,1,3,3,2,2,1,9,3,2,7,2
19,3,2,1,2,2,3,1,2,1,4,2,3,1,3,1,1,1,2,1,2,1,4,1,1,2,1,2,0,2
18,3,4,1,1,2,11,1,1,4,2,1,1,1,1,4,1,3,2,3,3,1,1,3,2,6,4,7,0,2
17,3,2,2,2,2,4,1,1,2,2,1,1,1,3,2,2,2,2,2,4,2,3,3,2,7,5,4,1,1
16,3,8,1,2,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,4,1,2,8,8,4,3,2
16,3,12,1,2,1,2,1,1,2,1,3,2,1,4,2,1,1,1,3,3,2,3,4,1,5,7,10,0,2
17,3,24,1,2,2,13,1,2,2,1,1,1,1,3,3,3,2,1,3,2,3,4,4,1,7,5,0,3,2
15,3,3,2,2,2,2,2,2,1,1,1,1,1,4,2,1,1,1,2,2,3,4,2,1,7,3,0,2,2
15,6,8,1,2,2,2,1,1,2,1,3,2,1,4,3,4,3,2,2,4,2,4,3,3,6,9,3,0,2
17,3,4,1,2,2,13,1,2,1,2,2,1,1,3,1,1,1,2,2,3,1,4,3,1,10,10,2,4,2
19,0,5,1,2,2,15,1,1,2,2,3,4,2,4,3,1,1,2,2,2,4,4,3,2,6,7,5,4,2
18,3,2,1,2,2,4,2,1,2,2,3,1,1,2,1,2,3,1,1,4,1,1,1,2,3,3,8,6,0
16,7,3,1,1,1,5,1,1,2,2,1,2,3,3,3,1,2,1,3,1,3,2,4,3,10,6,8,10,2
18,3,2,2,2,2,4,1,1,3,2,2,4,2,2,2,4,1,3,1,4,3,3,3,1,7,4,2,5,2
14,3,12,1,1,1,5,1,1,3,3,2,2,2,4,3,1,1,4,1,4,4,4,4,3,8,6,10,5,2
18,5,6,1,1,1,4,2,1,3,2,2,2,2,3,3,1,1,1,1,4,3,3,1,1,3,2,1,2,2
17,3,2,1,1,2,4,1,1,1,4,2,2,1,1,2,3,4,2,2,4,2,1,3,3,6,6,4,5,2
17,6,1,1,2,2,4,1,2,2,1,1,2,1,1,3,1,1,1,3,3,1,1,3,1,8,2,1,5,2
20,6,5,1,1,2,5,1,1,1,2,2,4,1,4,3,1,3,3,4,3,3,3,4,2,7,7,2,0,2
19,3,2,1,2,2,6,2,2,4,1,1,1,1,2,2,1,1,3,1,4,1,1,1,4,4,4,4,3,0
19,3,6,1,1,2,7,1,1,1,1,1,2,1,2,3,2,1,3,4,3,1,1,3,3,9,8,2,3,2
17,3,4,2,2,2,5,1,1,2,2,2,4,1,3,2,2,1,2,2,4,2,3,4,2,5,6,6,1,2
16,3,1,1,2,2,6,2,2,4,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,0,0,0,0,0
18,3,5,1,1,2,4,1,2,3,2,3,2,3,3,2,3,2,3,2,4,3,3,2,1,3,2,1,1,2
21,3,4,1,2,2,4,2,1,1,1,2,1,1,3,1,2,2,1,1,4,1,2,1,1,6,8,0,2,2
17,7,3,1,2,2,4,1,2,1,1,3,1,1,4,2,3,1,1,2,4,3,4,4,1,2,0,4,0,0
26,7,0.5,2,2,2,5,2,1,2,1,2,3,1,1,2,1,1,1,1,2,1,1,4,1,9,8,1,0,0
20,3,4,1,2,2,8,1,2,2,2,4,3,2,3,2,3,1,3,2,4,4,3,4,2,7,2,8,6,2
23,5,2,1,1,1,10,1,2,3,2,1,2,3,1,3,2,2,2,2,3,3,2,3,4,4,2,3,4,2
